内容ID,标题,内容类型,平台,内容赛道,目标人群,内容目标,选题来源,关键词,脚本状态,负责人,计划发布日期,实际发布日期,封面链接,视频链接,CTA类型,CTA关键词,播放量,完播率,点赞评论收藏,私信人数,加群人数,定制咨询数,成交金额,复盘结论,可复用模板,平台数量,主平台,发布状态,发布日期差值天数,点赞数,评论数,收藏数,互动总量,互动率,私信转化率,加群转化率,咨询转化率,千播成交金额,咨询客单金额,数据完整度
CNT-002,零基础用扣子搭一个客服助手（全流程）,长视频,B站,扣子,新手小白,建信任,评论区,"扣子, 客服助手, 实操",写脚本,Finn,2026/02/17,,,,私信关键词,模板,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-003,扣子最容易踩的3个坑,短视频,"抖音, 小红书, 视频号",扣子,新手小白,拉新,评论区,"扣子, 避坑, 新手",待录制,Finn,2026/02/18,,,,评论关键词,避坑,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-004,新AI工具快报1（效率向）,短视频,"抖音, 小红书, 视频号",AI工具,职场提效,涨粉,热点,"AI工具, 快报, 效率",待录制,Finn,2026/02/19,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-005,AIGC实战：从选题到成片的内容流水线,长视频,B站,AIGC,职场提效,转化社群,客户需求,"AIGC, 内容流水线, 实战",写脚本,Finn,2026/02/20,,,,私信关键词,社群,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-006,评论区答疑与下周问题收集,复盘,"B站, 抖音, 小红书, 视频号",变现,新手小白,建信任,复盘发现,"答疑, 复盘, 问题收集",待发布,Finn,2026/02/21,,,,评论关键词,答疑,0,0,0/0/0,0,0,0,0,,否,4,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-007,直播：下周脚本与封面拆解,直播,B站,变现,副业变现,建信任,复盘发现,"直播, 脚本, 封面",待发布,Finn,2026/02/22,,,,私信关键词,直播,0,0,0/0/0,0,0,0,0,,否,1,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-008,Vibe Coding是什么，谁适合用,短视频,"抖音, 小红书, 视频号",Vibe Coding,新手小白,拉新,热点,"Vibe Coding, 入门, 人群",待录制,Finn,2026/02/23,,,,评论关键词,Vibe,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-009,不会编程做一个最小可用AI网页工具,长视频,B站,Vibe Coding,新手小白,建信任,评论区,"Vibe Coding, MVP, AI网页",写脚本,Finn,2026/02/24,,,,私信关键词,模板,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-010,Vibe Coding提示词模板（可套用）,短视频,"抖音, 小红书, 视频号",Vibe Coding,新手小白,拉新,评论区,"提示词模板, Vibe Coding, 套用",待录制,Finn,2026/02/25,,,,评论关键词,提示词,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-011,新AI工具快报2（创作向）,短视频,"抖音, 小红书, 视频号",AI工具,职场提效,涨粉,热点,"AI工具, 创作, 快报",待录制,Finn,2026/02/26,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-012,n8n+大模型：自动抓取信息并生成日报,长视频,B站,自动化,职场提效,转化定制,客户需求,"n8n, 大模型, 日报",写脚本,Finn,2026/02/27,,,,私信关键词,定制,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-013,复盘：统计私信关键词与转化,复盘,"B站, 抖音, 小红书, 视频号",变现,副业变现,转化社群,复盘发现,"私信, 转化, 复盘",待发布,Finn,2026/02/28,,,,评论关键词,复盘,0,0,0/0/0,0,0,0,0,,否,4,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-014,直播：拆1个粉丝真实场景,直播,B站,变现,新手小白,建信任,评论区,"粉丝案例, 直播, 拆解",待发布,Finn,2026/03/01,,,,私信关键词,直播,0,0,0/0/0,0,0,0,0,,否,1,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-015,AI变现路径图（新手版）,短视频,"抖音, 小红书, 视频号",变现,副业变现,拉新,复盘发现,"AI变现, 路径图, 新手",待录制,Finn,2026/03/02,,,,评论关键词,变现,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-016,如何把AI工作流打包成可售卖服务,长视频,B站,变现,副业变现,转化定制,客户需求,"AI工作流, 服务打包, 接单",写脚本,Finn,2026/03/03,,,,私信关键词,定制,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-017,报价模板：按难度/按模块/按周期,短视频,"抖音, 小红书, 视频号",变现,副业变现,拉新,评论区,"报价模板, 接单, 交付",待录制,Finn,2026/03/04,,,,评论关键词,报价,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-018,新AI工具快报3（办公向）,短视频,"抖音, 小红书, 视频号",AI工具,职场提效,涨粉,热点,"AI工具, 办公, 快报",待录制,Finn,2026/03/05,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-019,扣子 vs n8n：同一需求谁更适合,长视频,B站,自动化,职场提效,建信任,对标账号,"扣子, n8n, 对比",写脚本,Finn,2026/03/06,,,,私信关键词,社群,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-020,复盘：筛选高意向咨询并跟进,复盘,"B站, 抖音, 小红书, 视频号",变现,副业变现,转化定制,复盘发现,"咨询, 线索, 跟进",待发布,Finn,2026/03/07,,,,评论关键词,咨询,0,0,0/0/0,0,0,0,0,,否,4,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-021,直播：AI接单避坑Q&A,直播,B站,变现,副业变现,建信任,评论区,"接单避坑, Q&A, 直播",待发布,Finn,2026/03/08,,,,私信关键词,直播,0,0,0/0/0,0,0,0,0,,否,1,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-022,AIGC内容质量提升的4个参数,短视频,"抖音, 小红书, 视频号",AIGC,职场提效,拉新,热点,"AIGC, 内容质量, 参数",待录制,Finn,2026/03/09,,,,评论关键词,AIGC,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-023,从0做AI内容工厂：选题-生成-分发-复盘,长视频,B站,AIGC,职场提效,转化社群,客户需求,"AI内容工厂, 分发, 复盘",写脚本,Finn,2026/03/10,,,,私信关键词,社群,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-024,爆款标题模板（AI赛道版）,短视频,"抖音, 小红书, 视频号",AIGC,新手小白,拉新,对标账号,"爆款标题, AI赛道, 模板",待录制,Finn,2026/03/11,,,,评论关键词,标题,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-025,新AI工具快报4（国内工具向）,短视频,"抖音, 小红书, 视频号",AI工具,新手小白,涨粉,热点,"国内AI工具, 快报, 提效",待录制,Finn,2026/03/12,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-026,真实案例复盘：一个自动化项目怎么交付,长视频,B站,自动化,副业变现,转化定制,客户需求,"自动化项目, 交付, 案例复盘",写脚本,Finn,2026/03/13,,,,私信关键词,定制,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-027,月度数据盘点（播放/私信/加群/咨询）,复盘,"B站, 抖音, 小红书, 视频号",变现,副业变现,建信任,复盘发现,"月度复盘, 数据盘点, 增长",待发布,Finn,2026/03/14,,,,评论关键词,复盘,0,0,0/0/0,0,0,0,0,,否,4,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-028,直播：月末答疑+下月方向投票,直播,B站,变现,新手小白,建信任,评论区,"月末答疑, 方向投票, 直播",待发布,Finn,2026/03/15,,,,私信关键词,直播,0,0,0/0/0,0,0,0,0,,否,1,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-029,本月最佳5个AI工具总结,短视频,"抖音, 小红书, 视频号",AI工具,职场提效,拉新,复盘发现,"AI工具总结, TOP5, 月度",待录制,Finn,2026/03/16,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-030,下月内容预告+征集实战题,短视频,"抖音, 小红书, 视频号",变现,新手小白,涨粉,评论区,"下月预告, 征集选题, 实战题",待录制,Finn,2026/03/17,,,,评论关键词,选题,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
