选题ID,日期,来源类型,选题标题,一级分类,内容赛道,内容类型建议,目标人群,内容目标,热度来源,痛点描述,核心结果承诺,关键词,选题角度,内容大纲,变现钩子,CTA,时效性,难度,评分,优先级,状态,计划周次,关联内容ID,备注
TOP-001,,历史,零基础用扣子搭一个客服助手,扣子,扣子,长视频,新手小白,建信任,评论区,不知道怎么开始搭AI应用,30分钟搭出可演示版本,"扣子, AI客服, 实操",,,,,,,,高,已排期,第1周,CNT-002,
TOP-002,,历史,Vibe Coding做最小可用AI工具,Vibe Coding,Vibe Coding,长视频,新手小白,建信任,热点,不会编程做不了产品,无需写代码上线一个MVP,"Vibe Coding, MVP, AI工具",,,,,,,,高,已排期,第2周,CNT-009,
TOP-003,,历史,扣子最容易踩的3个坑,扣子,扣子,短视频,新手小白,拉新,评论区,做出来不稳定易报错,一次避开常见配置错误,"扣子, 避坑, 新手",,,,,,,,中,已排期,第1周,CNT-003,
TOP-004,,历史,AI接单报价怎么报,变现,变现,短视频,副业变现,拉新,客户需求,不会报价导致单子流失,给出可直接套用报价框架,"AI变现, 报价, 接单",,,,,,,,高,待排期,,,
TOP-005,,历史,AIGC内容质量提升4个参数,AIGC,AIGC,短视频,职场提效,涨粉,热点,生成内容质量不稳定,用固定参数提高稳定性,"AIGC, 参数, 内容质量",,,,,,,,中,已排期,第4周,CNT-022,
AI-20260212-L01,2026-02-12,AI原创,n8n做“选题到发布”自动化内容流水线,AI自动化,AI自动化,长视频,AI小白/提效/变现,转化,热点+需求,日更断档、分发重复,搭出可复用内容流水线,"n8n,内容自动化,分发",用流程替代重复劳动,流程图->节点拆解->风险控制->实测效率,社群模板包+企业分发定制,回复“流水线”领取蓝图,hot,medium,8.7,高,待排期,,,
AI-20260212-L02,2026-02-12,AI原创,n8n vs Coze：副业接单该怎么选,AI自动化,AI自动化,长视频,AI小白/赚钱,建信任,常青+趋势,学了工具却无法交付,给出可执行选型路径,"n8n,coze,选型",按场景而非偏好选工具,选型维度->场景对比->报价影响,社群选型决策树+迁移定制,回复“选型图”获取对照表,evergreen,medium,8.3,高,待排期,,,
AI-20260212-L03,2026-02-12,AI原创,Vibe Coding做可卖小工具：AI脚本拆解器,Vibe Coding,Vibe Coding,长视频,想赚钱的人,转化,趋势,会写代码但不会产品化,7天做出可收费MVP,"vibe coding,MVP,变现",从代码能力转向交付能力,需求定义->MVP功能->收费页->交付边界,社群MVP模板+企业私有化定制,回复“MVP”领取开发清单,hot,high,8.1,中,待排期,,,
AI-20260212-S01,2026-02-12,AI原创,30分钟搭线索自动跟进工作流,AI自动化,AI自动化,短视频,提效/变现,拉新,热点,客资跟进慢漏单,自动触达提升响应率,"n8n,线索跟进,私域",小流程先跑通现金价值,痛点->节点演示->结果,定制线索系统,私信“跟进”领流程图,hot,low,8.4,高,待排期,,,
AI-20260212-S02,2026-02-12,AI原创,Coze做前台，n8n做后台编排,AI自动化,AI自动化,短视频,AI小白/提效,建信任,常青,单工具能力不够,给出混合架构方案,"coze,n8n,架构",不二选一而是组合,架构图->客服场景->成本,混合架构定制,回复“混合架构”,evergreen,medium,7.9,中,待排期,,,
AI-20260212-S03,2026-02-12,AI原创,Vibe Coding提示词升级：先产PRD再写代码,Vibe Coding,Vibe Coding,短视频,开发者/副业,涨粉,趋势,代码能跑但不可维护,提升交付稳定性,"vibe coding,PRD,提示词",把需求约束前置,错误示例->模板改写->结果对比,社群提示词库,评论“PRD模板”,hot,low,8.0,中,待排期,,,
AI-20260212-S04,2026-02-12,AI原创,AIGC电商套图：一套SKU批量出图,AIGC,AIGC,短视频,电商运营,转化,热点,上新素材不足,批量生成提升产能,"AIGC,电商,套图",固定风格与批量流程,素材输入->批量生成->质检,电商素材流水线定制,私信“套图流程”,hot,medium,8.2,高,待排期,,,
AI-20260212-S05,2026-02-12,AI原创,AI会议纪要自动转任务清单,AI提效,AI提效,短视频,职场提效,拉新,需求,会后不执行,自动分配任务提执行率,"会议纪要,任务分发,提效",会后闭环自动化,痛点->分发->跟踪,社群模板+团队接入定制,回复“会议闭环”,evergreen,low,7.8,中,待排期,,,
AI-20260212-S06,2026-02-12,AI原创,AI变现：0到首单工作流定制路径,AI变现案例,AI赚钱,短视频,副业变现,转化,常青,不会拿首单,给出首单成交SOP,"AI变现,首单,接单",先小单后复购,获客->诊断->成交,社群首单SOP,评论“首单”,evergreen,medium,7.7,中,待排期,,,
AI-20260212-S07,2026-02-12,AI原创,新功能更新后如何先卖“结果”,AI变现案例,AI赚钱,短视频,想赚钱的人,转化,热点,只讲参数没转化,用结果表达提升成交,"AI变现,成交,结果导向",从工具视角切换到结果视角,误区->结果模板->示例,社群成交话术包,回复“结果模板”,hot,low,7.9,中,待排期,,,
AI-20260212-E01,2026-02-12,AI原创,评论区高频问题自动汇总成明日选题,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E02,2026-02-12,AI原创,B站长视频自动拆5条短视频脚本,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E03,2026-02-12,AI原创,n8n vs Coze在私域客服场景对照,AI自动化,AI自动化,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E04,2026-02-12,AI原创,社群新人7天激活自动化流程,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E05,2026-02-12,AI原创,表单需求->报价草案->预约沟通自动化,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E06,2026-02-12,AI原创,工具更新监控->内容提纲自动生成,AI自动化,AI自动化,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E07,2026-02-12,AI原创,Vibe Coding做提示词版本管理器,Vibe Coding,Vibe Coding,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E08,2026-02-12,AI原创,多AI协作开发一个可卖插件,Vibe Coding,Vibe Coding,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E09,2026-02-12,AI原创,新功能发布48小时做收费Demo,Vibe Coding,Vibe Coding,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E10,2026-02-12,AI原创,Vibe Coding交付翻车3个检查点,Vibe Coding,Vibe Coding,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E11,2026-02-12,AI原创,电商主图+详情页+短视频AIGC联动,AIGC,AIGC,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E12,2026-02-12,AI原创,n8n驱动AIGC批量节日营销视频,AIGC,AIGC,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E13,2026-02-12,AI原创,本地生活商家短视频模板库生成,AIGC,AIGC,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E14,2026-02-12,AI原创,AI口播+字幕+封面自动成片,AIGC,AIGC,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E15,2026-02-12,AI原创,每天2小时决策时间回收系统,AI提效,AI提效,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI提效,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E16,2026-02-12,AI原创,运营周报自动生成+异常提醒,AI提效,AI提效,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI提效,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E17,2026-02-12,AI原创,选题会会前资料自动准备包,AI提效,AI提效,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI提效,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E18,2026-02-12,AI原创,从工具教学升级到结果交付客单翻倍,AI变现案例,AI赚钱,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI赚钱,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260212-E19,2026-02-12,AI原创,从社群问答挖出高意向定制需求,AI变现案例,AI赚钱,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI赚钱,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260212-E20,2026-02-12,AI原创,自动化代运营月费复购模型,AI变现案例,AI赚钱,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI赚钱,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.2,中,待排期,,,ExpandedTopicPool20
AI-20260214-L01,2026-02-14,AI原创,n8n实战：今日搭建“私信线索分层+自动跟进”闭环,AI自动化,AI自动化,长视频,AI小白/副业变现,转化,热点+需求,私信线索杂乱，跟进漏人,1套流程提升线索转化效率,"n8n,线索分层,自动跟进",从手动表格到自动化线索漏斗,场景拆解->节点配置->风控->复盘指标,社群给流程模板，定制给线索系统搭建,回复“线索闭环”,hot,medium,8.8,高,待排期,,,
AI-20260214-L02,2026-02-14,AI原创,n8n vs Coze：同一客服场景谁更适合交付客户,AI自动化,AI自动化,长视频,提效/赚钱人群,建信任,常青+趋势,工具选错导致交付反复返工,给出可执行选型框架,"n8n,coze,选型",按交付稳定性和维护成本对比,需求->实现->运维->报价影响,社群给选型表，定制给迁移改造,回复“选型表”,evergreen,medium,8.4,高,待排期,,,
AI-20260214-L03,2026-02-14,AI原创,Vibe Coding：7天做可收费“选题评分器”小产品,Vibe Coding,Vibe Coding,长视频,想通过AI赚钱的人,转化,趋势,会写功能但不会产品化变现,最小可售MVP路径,"vibe coding,MVP,变现",从脚本能力到可售服务,需求定义->MVP->定价->交付边界,社群给MVP清单，定制给企业版开发,回复“MVP评分器”,hot,high,8.2,中,待排期,,,
AI-20260214-S01,2026-02-14,AI原创,今天搭什么工作流：内容选题自动打分,AI自动化,AI自动化,短视频,AI小白/提效,拉新,热点,选题靠感觉，命中率低,自动打分提高选题命中,"n8n,选题打分,内容提效",建立可复用选题评分机制,痛点->流程图->结果,社群给评分模板,评论“选题评分”,hot,low,8.3,高,待排期,,,
AI-20260214-S02,2026-02-14,AI原创,Coze前台+n8n后台：最省心组合架构,AI自动化,AI自动化,短视频,职场提效,建信任,常青,单工具难覆盖复杂需求,给出混合架构最小实践,"coze,n8n,混合架构",前台体验+后台稳定交付,场景->架构->收益,定制混合自动化搭建,回复“混合架构”,evergreen,medium,8.0,中,待排期,,,
AI-20260214-S03,2026-02-14,AI原创,Vibe Coding提效技巧：先写验收标准再生成代码,Vibe Coding,Vibe Coding,短视频,开发者/副业,涨粉,趋势,生成代码可跑但不可交付,交付质量明显提升,"vibe coding,验收标准,交付",从“写代码”变“写可交付”,反例->改法->效果,社群给验收模板,评论“验收模板”,hot,low,8.1,中,待排期,,,
AI-20260214-S04,2026-02-14,AI原创,AIGC电商图：一条工作流批量出主图+详情图,AIGC,AIGC,短视频,电商运营,转化,热点,美工产能不足,批量生产稳定素材,"AIGC,电商,套图",模板化生成可复用素材,输入->生成->质检,定制电商内容流水线,私信“电商套图”,hot,medium,8.2,高,待排期,,,
AI-20260214-S05,2026-02-14,AI原创,AI提效：会议纪要自动拆任务并同步提醒,AI提效,AI提效,短视频,职场提效,拉新,需求,会后执行断层,自动分配提高执行率,"会议纪要,任务拆解,提效",让会后动作自动推进,问题->流程->结果,社群给模板包,回复“会后闭环”,evergreen,low,7.9,中,待排期,,,
AI-20260214-S06,2026-02-14,AI原创,AI变现案例：首单定制如何从300到3000,AI变现案例,AI赚钱,短视频,副业变现,转化,常青,不会打包服务导致低价,服务分层抬升客单,"AI变现,定制报价,客单价",从单点技能到方案交付,报价结构->案例->CTA,社群给报价框架,评论“报价框架”,evergreen,medium,7.8,中,待排期,,,
AI-20260214-S07,2026-02-14,AI原创,AI工具更新后怎么做第一条变现内容,AI变现案例,AI赚钱,短视频,想赚钱的人,转化,热点,只讲更新不讲结果,更新48小时内产出变现内容,"AI工具,更新,变现",把新功能包装成可售结果,更新点->场景->成交动作,社群给变现模板,回复“更新变现”,hot,low,8.0,中,待排期,,,
AI-20260214-E01,2026-02-14,AI原创,今天搭：评论区问题抓取->次日选题池,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.8,中,待排期,,,ExpandedTopicPool20
AI-20260214-E02,2026-02-14,AI原创,今天搭：爆款视频监控->自动改写发布建议,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,low,8.3,中,待排期,,,ExpandedTopicPool20
AI-20260214-E03,2026-02-14,AI原创,n8n vs Coze：电商客服分流场景实测,AI自动化,AI自动化,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.5,中,待排期,,,ExpandedTopicPool20
AI-20260214-E04,2026-02-14,AI原创,今天搭：社群新人7天激活自动流程,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,8.0,中,待排期,,,ExpandedTopicPool20
AI-20260214-E05,2026-02-14,AI原创,今天搭：表单需求->报价草案->预约沟通,AI自动化,AI自动化,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,8.5,中,待排期,,,ExpandedTopicPool20
AI-20260214-E06,2026-02-14,AI原创,今天搭：工具更新追踪->选题提纲生成,AI自动化,AI自动化,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI自动化,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,low,7.7,中,待排期,,,ExpandedTopicPool20
AI-20260214-E07,2026-02-14,AI原创,Vibe Coding做“标题AB测试器”小项目,Vibe Coding,Vibe Coding,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,8.2,中,待排期,,,ExpandedTopicPool20
AI-20260214-E08,2026-02-14,AI原创,多AI协作开发一个可卖的内容插件,Vibe Coding,Vibe Coding,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,low,7.4,中,待排期,,,ExpandedTopicPool20
AI-20260214-E09,2026-02-14,AI原创,模型更新后48小时做收费Demo的步骤,Vibe Coding,Vibe Coding,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.9,中,待排期,,,ExpandedTopicPool20
AI-20260214-E10,2026-02-14,AI原创,Vibe Coding交付防翻车清单,Vibe Coding,Vibe Coding,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"Vibe Coding,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,8.4,中,待排期,,,ExpandedTopicPool20
AI-20260214-E11,2026-02-14,AI原创,AIGC批量生成电商主图+场景图,AIGC,AIGC,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.6,中,待排期,,,ExpandedTopicPool20
AI-20260214-E12,2026-02-14,AI原创,n8n驱动AIGC批量短视频成片,AIGC,AIGC,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,low,8.1,中,待排期,,,ExpandedTopicPool20
AI-20260214-E13,2026-02-14,AI原创,本地商家短视频模板库自动生成,AIGC,AIGC,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,7.3,中,待排期,,,ExpandedTopicPool20
AI-20260214-E14,2026-02-14,AI原创,AI口播+字幕+封面一键成片流,AIGC,AIGC,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AIGC,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.8,中,待排期,,,ExpandedTopicPool20
AI-20260214-E15,2026-02-14,AI原创,AI邮件处理自动分级与回执,AI提效,AI提效,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI提效,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,medium,8.3,中,待排期,,,ExpandedTopicPool20
AI-20260214-E16,2026-02-14,AI原创,运营周报自动汇总与异常提醒,AI提效,AI提效,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI提效,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,7.5,中,待排期,,,ExpandedTopicPool20
AI-20260214-E17,2026-02-14,AI原创,选题会会前资料自动准备包,AI提效,AI提效,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI提效,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,8.0,中,待排期,,,ExpandedTopicPool20
AI-20260214-E18,2026-02-14,AI原创,从工具教学到结果交付的客单升级,AI变现案例,AI赚钱,长视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI赚钱,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,8.5,中,待排期,,,ExpandedTopicPool20
AI-20260214-E19,2026-02-14,AI原创,从社群高频问题挖掘定制订单,AI变现案例,AI赚钱,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI赚钱,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,hot,medium,7.7,中,待排期,,,ExpandedTopicPool20
AI-20260214-E20,2026-02-14,AI原创,自动化代运营月费制复购模型,AI变现案例,AI赚钱,短视频,AI小白/提效/赚钱,拉新+转化,热点+常青+需求,效率低/不会选题/不会变现,给出可执行方案,"AI赚钱,AI原创选题",信号+痛点+变现路径重组,问题->方案->演示->行动,社群模板+定制诊断,回复关键词领取模板,evergreen,low,8.2,中,待排期,,,ExpandedTopicPool20
